energy_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,fiber_100g,kcal,category
177.0,0.0,0.0,0.0,10.4,10.4,0.01,0.0,42.30401529636711,1
1360.0,5.0,0.0,0.0,75.0,57.5,0.05,0.0,325.0478011472275,2
586.0,0.0,0.0,0.0,34.0,24.0,0.03,0.0,140.05736137667304,2
130.0,0.2,0.1,0.1,7.6,7.6,0.0118110236220472,0.1,31.070745697896747,1
188.0,0.8,2.1,0.7,5.3,2.4,0.295275590551181,0.8,44.93307839388145,1
364.0,2.3,1.9,1.0,14.8,9.4,0.0196850393700787,0.6,86.9980879541109,1
88.0,0.7,0.1,0.1,4.4,4.0,0.0,0.0,21.03250478011472,1
2230.0,6.67,30.0,10.0,56.7,56.7,0.0333,3.33,532.982791586998,3
2260.0,5.41,32.4,10.8,56.8,56.8,0.0405,2.7,540.1529636711281,3
117.0,0.0,0.0,0.0,7.6,7.6,0.017,0.0,27.963671128107073,1
117.0,0.0,0.0,0.0,7.6,7.6,0.017,0.0,27.963671128107073,1
1820.0,2.56,15.4,8.97,69.2,51.3,0.269,0.0,434.9904397705545,2
443.0,2.94,4.12,2.06,15.9,14.1,0.0441,0.0,105.87954110898661,2D
1167.0,9.3,2.33,0.0,51.16,6.98,0.465,2.3,278.9196940726577,2
1243.0,8.11,5.41,0.68,58.11,10.81,0.257,1.4,297.08413001912044,2
1343.0,10.26,3.85,0.64,61.54,8.97,0.564,1.3,320.9847036328872,2
192.0,0.0,0.0,0.0,11.25,11.25,0.015,0.0,45.88910133843212,1
778.0,9.3,1.16,0.0,44.19,4.65,0.488,9.3,185.94646271510516,2
1883.0,10.0,26.67,6.67,53.33,0.0,0.45,13.3,450.0478011472275,2
1812.0,10.0,23.33,3.33,53.33,0.0,0.767,13.3,433.0783938814531,2
2092.0,10.0,26.67,6.67,53.33,0.0,1.067,13.3,500.0,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
192.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,45.88910133843212,1
192.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,45.88910133843212,1
192.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,45.88910133843212,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
209.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,49.95219885277246,1
2280.0,6.06,36.36,7.58,45.45,0.0,0.303,12.1,544.9330783938815,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
192.0,0.0,0.0,0.0,10.83,9.58,0.015,0.0,45.88910133843212,1
1523.0,9.09,6.06,0.0,69.7,0.0,0.848,15.2,364.00573613766727,2
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
368.0,0.0,0.0,0.0,23.53,17.65,1.353,5.9,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,17.65,1.353,5.9,87.95411089866157,3
192.0,0.0,0.0,0.0,10.83,9.58,0.015,0.0,45.88910133843212,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
209.0,0.0,0.0,0.0,12.5,10.0,0.0,0.4,49.95219885277246,1
1167.0,9.3,4.65,0.0,51.16,6.98,0.535,2.3,278.9196940726577,2
1092.0,6.52,3.26,0.0,47.83,4.35,0.413,2.2,260.9942638623327,2
1071.0,9.3,2.33,0.0,48.84,4.65,0.395,2.3,255.97514340344168,2
1071.0,6.98,3.49,0.0,51.16,4.65,0.419,2.3,255.97514340344168,2
1904.0,12.12,15.15,6.06,69.7,0.0,0.848,15.2,455.0669216061185,2
1180.0,7.69,2.56,0.0,51.28,5.13,0.462,2.6,282.0267686424474,2
188.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,44.93307839388145,1
50.0,0.0,0.0,0.0,3.33,3.33,0.015,0.4,11.950286806883364,1
50.0,0.0,0.0,0.0,3.33,3.33,0.021,0.4,11.950286806883364,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1230.0,11.76,5.88,1.47,58.82,0.0,0.235,14.7,293.97705544933075,2
2142.0,6.98,30.23,16.28,53.49,0.0,0.756,11.6,511.95028680688335,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
1774.0,6.06,24.24,9.09,48.48,0.0,0.758,12.1,423.9961759082218,2
1774.0,6.06,24.24,9.09,48.48,0.0,0.758,12.1,423.9961759082218,2
1774.0,6.06,27.27,9.09,48.48,0.0,0.758,12.1,423.9961759082218,2
1523.0,6.06,13.64,6.06,51.52,0.0,0.758,12.1,364.00573613766727,2
1904.0,6.06,27.27,15.15,45.45,0.0,0.909,12.1,455.0669216061185,2
1268.0,12.12,6.06,1.52,60.61,0.0,0.242,15.2,303.0592734225621,2
2155.0,6.06,30.3,15.15,51.52,0.0,0.758,9.1,515.057361376673,2
2029.0,6.06,27.27,15.15,51.52,0.0,1.152,9.1,484.94263862332696,2
2155.0,6.06,30.3,6.06,48.48,0.0,1.333,12.1,515.057361376673,2
2155.0,6.06,33.33,7.58,48.48,0.0,1.091,12.1,515.057361376673,2
167.0,0.5,0.5,0.1,9.1,8.4,0.031496062992126,0.5,39.913957934990435,1
1904.0,12.12,15.15,6.06,69.7,0.0,0.848,15.2,455.0669216061185,2
1753.0,9.1,10.8,1.9,66.9,2.3,0.543307086614173,8.9,418.97705544933075,2
1950.0,10.0,16.7,3.33,66.7,3.33,0.8,3.33,466.06118546845124,2
1950.0,13.3,16.7,3.33,63.3,3.33,0.9,3.33,466.06118546845124,2
1958.0,11.6,18.1,3.7,64.2,1.4,0.748031496062992,2.5,467.97323135755255,2
368.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,87.95411089866157,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.882,0.0,118.06883365200764,3
1774.0,6.06,24.24,9.09,48.48,0.0,0.758,12.1,423.9961759082218,2
2243.0,7.14,32.14,17.86,53.57,0.0,1.179,14.3,536.0898661567877,2
1890.0,7.14,16.7,2.38,69.0,26.2,0.429,4.76,451.7208413001912,2
1490.0,10.7,7.14,1.79,71.4,3.57,0.5,10.7,356.1185468451243,2
1640.0,7.14,5.36,0.0,78.6,32.1,0.571,7.14,391.96940726577435,2
1610.0,3.85,3.85,0.0,84.6,30.8,0.442,3.85,384.79923518164435,2
1700.0,6.25,7.81,1.56,81.2,25.0,0.625,3.12,406.3097514340344,2
1550.0,7.41,1.85,0.0,85.2,7.41,0.815,3.7,370.4588910133843,2
167.0,0.0,0.0,0.0,10.0,10.0,0.196850393700787,0.0,39.913957934990435,1
167.0,0.0,0.0,0.0,10.0,10.0,0.0118110236220472,0.0,39.913957934990435,1
184.0,0.0,0.0,0.0,11.0,11.0,0.0078740157480315,0.0,43.977055449330784,1
142.0,0.0,0.0,0.0,8.5,8.5,0.0433070866141732,0.0,33.93881453154876,1
88.0,0.0,0.0,0.0,5.2,5.0,0.0196850393700787,0.0,21.03250478011472,1
2034.0,6.7,20.2,10.3,68.0,31.3,0.189,2.1,486.1376673040153,2
547.0,12.6,9.0,2.5,0.1,0.1,0.15,0.0,130.736137667304,2
1297.0,20.69,3.45,0.0,69.0,13.8,0.0826771653543307,22.4,309.9904397705545,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1523.0,9.09,6.06,0.0,69.7,0.0,0.636,15.2,364.00573613766727,2
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,9.1,484.94263862332696,2
171.0,0.0,0.0,0.0,10.0,9.9,0.0393700787401575,0.0,40.86998087954111,1
264.0,0.0,0.0,0.0,15.3,15.3,4.33070866141732,0.0,63.09751434034417,1
1812.0,6.67,16.67,6.67,60.0,0.0,0.6,10.0,433.0783938814531,2
