product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
All-Bran honey Almond,420,cereals,2,Australia,"coles, woolworths",4.5,1570.0,10.9,5.6,0.8,61.6,23.5,290.0,16.3,"Whole grain wheat (43%), wheat bran (29%), sugar, almond (5%), honey (3.5%), barley malt extract, molasses, salt, natural flavour, minerals (iron, zinc oxide), vitamins (niacin, vitamin B6, riboflavin, folate).",28/10/25,"May contain peanut, other tree nuts. Contains gluten, wheat, almond.",Kellogg’s,375.2390057361376
All-Bran Original,"350, 530",cereals,2,Australia,"coles, woolworths",5.0,1420.0,14.1,4.6,0.9,46.0,15.7,330.0,28.0,"Wheat bran (85%), sugar, barley malt extract, salt, minerals (iron, zinc oxide), vitamins (niacin, vitamin B6, riboflavin, folate). (Natural source of magnesium).",28/10/25,"gluten, wheat.  May contain peanut, tree nuts.",Kellogg’s,339.3881453154876
All-Bran wheat flake,330,cereals,2,Australia,"coles, woolworths",5.0,1490.0,12.2,3.6,0.7,58.9,10.8,360.0,18.8,"Whole grain wheat (53%), wheat bran (35%), sugar, barley malt extract, salt, minerals (iron, zinc oxide), vitamins (niacin, vitamin B6, riboflavin, folate). (Natural source of magnesium.)",28/10/25,"gluten, wheat.  May contain peanut, tree nuts",Kellogg’s,356.1185468451243
Coco pops chocos,260,cereals,2,Australia,"coles, woolworths",4.0,1650.0,8.7,2.9,1.0,82.0,24.1,275.0,9.2,"Cereals (61%) (wheat flour, maize flour, whole grain oat flour, barley flour, rice flour), sugar, cocoa (9%), fructo-oligosaccharides, oat fibre, minerals (calcium carbonate, iron, zinc oxide), salt, natural flavour, antioxidant (rosemary extract), vitamins (niacin, riboflavin, vitamin B6, folate).",29/10/25,https://www.kelloggs.com.au/en_AU/products/all-bran-wheat-flakes-honey-almond.html,"gluten, wheat.  May contain peanut, tree nuts, soy",394.3594646271511
Just Right,"11500, 1100,460,740",cereals,2,Australia,"coles, woolworths",4.0,1510.0,7.9,2.3,0.6,70.9,22.9,30.0,10.0,"Whole grains (64%)(wheat, oats), fruit (sultanas [12%], apricot pieces [5%] [concentrated apricot puree, concentrated apple puree, invert sugar, humectant (glycerol), sugar, wheat fibre, gelling agent (pectin), acidity regulator (296), natural flavour, colours (turmeric, paprika)]), sugar, puffed triticale (wheat), wheat flour, barley malt extract, salt, natural flavour, minerals (iron, zinc oxide), vitamins (niacin, vitamin B6, riboflavin, folate). ",29/10/25,,"gluten, wheat.  May contain peanut, tree nuts.",360.8986615678776
High protein Granola honey nut,450,cereals,2,Australia,"coles, woolworths",5.0,1800.0,24.5,10.9,1.5,57.8,10.8,140.0,14.6,"Whole grain oats (43%), soy protein (24%), glucose syrup, nuts (7%)(almond, cashew), fructo-oligosaccharides, chicory root fibre, honey (4%), sunflower oil, natural flavour, starch, salt, vitamin (vitamin E), emulsifier (soy lecithin).",29/10/25,"Contains gluten, cashew, almond, soy.  May contain wheat, milk, peanut, other tree nuts.",,430.2103250478011
Coco pops pillows,310,cereals,2,Australia,"coles, woolworths",2.5,1830.0,7.8,15.0,5.0,64.9,25.0,165.0,5.3,"Cereals (50%) (wheat flour, whole grain wheat flour, maize flour), milk chocolate flavoured filling (35%) (vegetable fat, milk chocolate [sugar, cocoa mass, whey powder (milk), concentrated butter (milk), whole milk powder, cocoa butter], sugar, glucose solids, cocoa, whole milk powder, skim milk powder, emulsifier [soy lecithin], natural flavour, acidity regulator [citric acid]), sugar, cocoa, oligofructose, potassium chloride, salt, vitamins (vitamin E, niacin, vitamin B6, riboflavin, thiamin, folate), minerals (iron, zinc oxide), antioxidant (rosemary extract).",29/10/25,,"gluten, wheat, milk, soy, tree nuts",437.3804971319311
Corn flakes plus multi grain,545,cereals,2,Australia,"coles, woolworths",3.5,1640.0,8.0,1.9,0.4,84.5,12.6,320.0,5.2,"Cereals (corn [56%], whole grain cereals [30%] [wheat, brown rice]), sugar, barley malt extract, invert syrup, salt, minerals (iron, zinc oxide), vitamins (niacin, vitamin E, vitamin B6, riboflavin, folate).",29/10/25,,"gluten, wheat, peanut, tree nuts",391.9694072657744
corn flakes,"890, 220,725,380,450",cereals,2,Australia,"coles, woolworths",3.5,1620.0,7.9,1.8,0.3,81.4,8.9,535.0,4.2,"Corn (90%), sugar, salt, barley malt extract, vitamins (vitamin E, niacin, vitamin B6, riboflavin, folate), minerals (iron, zinc oxide)",29/10/25,,"gluten, wheat, peanut, tree nuts",387.189292543021
rice bubbles,"110,250,860,410",cereals,2,Australia,"coles, woolworths",3.0,1640.0,7.4,1.3,0.2,85.0,8.4,420.0,2.3,"Whole white rice (91%), sugar, salt, barley malt extract, minerals (iron, zinc oxide), vitamins (niacin, riboflavin, vitamin B6, folate).",29/10/25,,"gluten, wheat, peanut, tree nuts",391.9694072657744
special K gluten free,330,cereals,2,Australia,"coles, woolworths",3.0,1600.0,6.5,1.4,0.3,83.2,13.8,500.0,3.3,"Whole grain brown rice (84%), sugar, salt, vitamins (vitamin E, niacin, vitamin B6, thiamin, riboflavin, folate), emulsifier (471), minerals (iron, zinc oxide).",29/10/25,,tree nuts,382.4091778202677
coco pops ,"540,950,375,650,1260",cereals,2,Australia,"coles, woolworths",2.0,1640.0,5.7,1.3,0.3,87.3,32.3,330.0,1.7,"Whole white rice (64%), sugar, cocoa (3%), minerals (calcium carbonate, iron, zinc oxide), salt, natural flavour , barley malt extract, vitamins (niacin, riboflavin, vitamin B6, folate).",29/10/25,"gluten, wheat, tree nuts",,391.9694072657744
cripx honey,460,cereals,2,Australia,"coles, woolworths",2.0,1610.0,5.2,0.9,0.1,86.9,25.7,490.0,1.7,"Maize flour (74%), sugar, honey (3.5%), salt, molasses, raising agent (sodium bicarbonate), barley flour, vitamins (niacin, thiamin, riboflavin, folate).",29/10/25,"gluten, wheat, peanut,tree nuts, soy, milk",,384.7992351816444
treatz,130,cereals,2,Australia,"coles, woolworths",1.5,1700.0,4.0,8.7,3.1,76.7,29.2,285.0,0.7,"White rice (38%), glucose, sugar, vegetable oil (antioxidant [tocopherols]), invert syrup, choc cookie pieces (6%) (wheat flour, sugar, vegetable oil, butter [milk], cocoa, tapioca syrup, raising agent [500], natural flavour, salt), marshmallows (6%) (glucose, sugar, gelatin [beef], thickener [1422], dextrose, acidity regulator [450], natural flavour), glucose solids, fructose, milk solids (2%), humectant (glycerol), salt, gelatin (beef), emulsifiers (canola lecithin, 472e, 472a [soy]), natural flavour, barley malt extract, antioxidant (rosemary extract).
",29/10/25,"gluten, wheat, peanut,tree nuts",,406.3097514340344
chop chip,100,cereals,2,Australia,"coles, woolworths",1.0,1780.0,3.2,11.3,5.5,76.7,36.5,290.0,0.7,"White rice (34%), glucose, choc chips (12%) (sugar, vegetable fat, milk solids, cocoa, emulsifiers [soy lecithin, 476], stabiliser [492]), fructose, sugar, vegetable oil (antioxidant [tocopherols]), glucose solids, invert syrup, humectant (glycerol), salt, gelatin (beef), natural flavour, emulsifiers (canola lecithin, 472e, 472a [soy]), barley malt extract, antioxidant (rosemary extract), milk solids.",29/10/25,"gluten, wheat, peanut,tree nuts",,425.43021032504777
splitstix,110,cereals,2,Australia,"coles, woolworths",0.5,1890.0,3.0,15.9,10.4,73.2,39.2,260.0,0.5,"White rice (29%), yoghurt compound (26%) (sugar, vegetable oil, milk solids, glucose [wheat], yoghurt powder [milk], emulsifier [soy lecithin], acidity regulator [330], salt), glucose, fructose, sugar, vegetable oil (antioxidant [tocopherols]), glucose solids, invert syrup, humectant (glycerol), salt, gelatin (beef), natural flavour, emulsifiers (canola lecithin, 472e, 472a [soy]), barley malt extract, antioxidant (rosemary extract), milk solids.",29/10/25,,"gluten, wheat, peanut,tree nuts",451.7208413001912
bean sprouts,250,vegetables,2,Australia,woolworths,5.0,188.0,41.0,1.0,1.0,5.5,1.7,4.0,3.1,,29/10/25,,,44.93307839388145
